,Unnamed: 0,Dis No,Year,Seq,Country,ISO,Region,Location,Associated Dis,Declaration,Dis Mag Value,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,Total Affected,Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations,Start Date,End Date,Duration,poverty,housing_deprive,forest,elder,population,gdp,unemployment,child_population,disabled,Start_Date,End_Date,Days_over_30,Max_temp
32,1189,2005-0756-ROU,2005,756,Romania,ROU,Eastern Europe,Bucuresti province,,,36.0,2005,7.0,27.0,2005,8.0,1.0,13.0,500.0,500.0,,,66.7310579862028,1,2455,,Bucuresti (Adm1). ,2005-07-27,2005-08-01,5.0,34.4,14.3,35.5,19.5,19042455.0,10110.0,2.2,16.2217686742597,0.01713854647418098,2005-07-01,2005-07-31,5.0,32.1
33,1211,2006-0383-NLD,2006,383,Netherlands,NLD,Western Europe,"Drenthe, Flevoland, Friesland, Gelderland, Groninge, Limburg, Noord-brabant, Noord-holland,Overijssel, Utrecht, Zeeland, Zuit-holland provinces",,,34.0,2006,7.0,15.0,2006,7.0,23.0,1000.0,,,,,68.8837587123464,1,2158;2159;2160;2161;2162;2163;2164;2165;2166;2167;2168;2169,,"Drenthe, Flevoland, Friesland, Gelderland, Groningen, Limburg, Noord-brabant, Noord-holland, Overijssel, Utrecht, Zeeland, Zuid-holland (Adm1). ",2006-07-15,2006-07-23,8.0,16.5,1.5,10.9,20.0,17590672.0,43800.0,0.7,15.41988276513825,0.013615739068979286,2006-07-01,2006-07-31,2.0,33.1
34,1213,2006-0383-PRT,2006,383,Portugal,PRT,Southern Europe,"Aveiro, Beja, Braga, Braganca, Castelo Branco, Coimbra, Evora, Faro, Guadra, Leiria, Lisboa, Portoalegre, Porto, Santarem, Setubal, Viana Do Castelo, Vila Real, Viseu provinces",,,47.0,2006,7.0,11.0,2006,7.0,17.0,41.0,,,,,68.8837587123464,1,2386;2387;2388;2389;2390;2391;2392;2393;2394;2405;2406;2407;2408;2409;2410;2411;2412;2413,,"Aveiro, Beja, Braga, Braganca, Castelo Branco, Coimbra, Evora, Faro, Guarda, Leiria, Lisboa, Portalegre, Porto, Santarem, Setubal, Viana Do Castelo, Vila Real, Viseu (Adm1). ",2006-07-11,2006-07-17,6.0,20.1,3.9,49.9,23.7,10352042.0,19290.0,2.7,12.798276900344879,0.011828584157599051,2006-07-01,2006-07-31,7.0,35.8
35,1216,2006-0348-ROU,2006,348,Romania,ROU,Eastern Europe,"Bucarest, Galati, Mehedinti provinces",,,36.0,2006,6.0,29.0,2006,7.0,,26.0,200.0,200.0,,,68.8837587123464,1,2455;2464;2472,,"Bucuresti, Galati, Mehedinti (Adm1). ",2006-06-29,,,34.4,14.3,35.5,19.5,19042455.0,10110.0,2.2,16.2217686742597,0.01713854647418098,2006-06-01,2006-06-30,5.0,32.3
36,1229,2007-0235-BGR,2007,235,Bulgaria,BGR,Eastern Europe,"Blagoevgrad, Burgas, Dobrich, Gabrovo, Haskovo, Jambol, Kardzhali, Kustendil, Lovech, Montana, Pazardzhik, Pernik, Pleven, Plovdiv, Razgrad, Ruse, Shumen, Silistra, Sliven, Smoljan, Sofia, Sofia-city, Stara Zagora, Targovishte, Varna, Veliko Tarnovo, Vidin, Vratca provinces",Wildfire,Yes,46.0,2007,6.0,,2007,7.0,,2.0,50.0,50.0,,,70.848792703253,1,702;703;704;705;706;707;708;709;710;711;712;713;714;715;716;717;718;719;720;721;722;723;724;725;726;727;728;729,,"Blagoevgrad, Burgas, Dobrich, Gabrovo, Haskovo, Jambol, Kardzhali, Kustendil, Lovech, Montana, Pazardzhik, Pernik, Pleven, Plovdiv, Razgrad, Ruse, Shumen, Silistra, Sliven, Smoljan, Sofia, Sofia-city, Stara Zagora, Targovishte, Varna, Veliko Tarnovo, Vidin, Vratca (Adm1). ",,,,32.2,8.6,48.0,21.7,6838937.0,7250.0,2.3,14.520750812589734,0.020025041903442013,2007-06-01,2007-06-30,4.0,34.5
39,1284,2007-0235-ROU,2007,235,Romania,ROU,Eastern Europe,"Caras-severin, Dolj, Olt, Teleorman, Giurgiu, Bucuresti, Iasi provinces",Drought,,45.0,2007,6.0,,2007,7.0,,30.0,,,,,70.848792703253,1,2455;2458;2463;2465;2470;2475;2481,,"Bucuresti, Caras-severin, Dolj, Giurgiu, Iasi, Olt, Teleorman (Adm1). ",,,,34.4,14.3,35.5,19.5,19042455.0,10110.0,2.2,16.2217686742597,0.01713854647418098,2007-06-01,2007-06-30,11.0,39.1
40,1285,2007-0235-ITA,2007,235,Italy,ITA,Southern Europe,"Calabria, Sicilia, Trentino-alto Adige provinces",Wildfire,,45.0,2007,6.0,,2007,6.0,,6.0,,,,,70.848792703253,1,1618;1630;1632,,"Calabria, Sicilia, Trentino-alto Adige (Adm1). ",,,,24.4,6.1,37.0,23.8,59030133.0,27860.0,4.6,12.688087624671285,0.01253512337503966,2007-06-01,2007-06-30,5.0,33.1
41,1295,2007-0235-SVK,2007,235,Slovakia,SVK,Eastern Europe,"Banska Bystrica, Bratislava, Kosice, Nitra, Presov, Trencin, Trnava, Zilna provinces",,,40.0,2007,7.0,15.0,2007,7.0,22.0,1.0,89.0,89.0,,,70.848792703253,1,2667;2668;2669;2670;2671;2672;2673;2674,,"Banska Bystrica, Bratislava, Kosice, Nitra, Presov, Trencin, Trnava, Zilna (Adm1). ",2007-07-15,2007-07-22,7.0,16.5,3.2,48.6,17.4,5434712.0,16300.0,4.1,16.059655047038373,0.014979634615412924,2007-07-01,2007-07-31,11.0,36.9
42,1384,2011-0329-ITA,2011,329,Italy,ITA,Southern Europe,"Milano district (Lombardia province), Torino district (Piemonte province), Trieste district (Friuli-venezia Giulia province), Verona district (Veneto province), Messina district (Sicilia province), Roma district (Lazio province), Napoli district (Campania province)",,,47.0,2011,8.0,17.0,2011,8.0,24.0,10.0,,,,,76.8615953778198,2,,18332;18345;18350;18363;18378;18394;18419,"Messina, Milano, Napoli, Roma, Torino, Trieste, Verona (Adm2). ",2011-08-17,2011-08-24,7.0,24.4,6.1,37.0,23.8,59030133.0,27860.0,4.6,12.688087624671285,0.01253512337503966,2011-08-01,2011-08-31,15.0,36.1
45,1583,2015-0410-BEL,2015,410,Belgium,BEL,Western Europe,"Vlaams Gewest, Region de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewes, Region wallonne provinces",,,,2015,6.0,30.0,2015,7.0,5.0,410.0,,,,,80.9885789905908,1,600;601;602,,"Region de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewes, Region wallonne, Vlaams Gewest (Adm1). ",2015-06-30,2015-07-05,5.0,18.7,2.3,24.3,19.5,11617623.0,36860.0,2.3,16.62690379951217,0.01337106566463725,2015-06-01,2015-06-30,1.0,30.9
46,1590,2015-0410-FRA,2015,410,France,FRA,Western Europe,"Alsace, Aquitaine, Auvergne, Basse-Normandie, Bourgogne, Bretagne, Centre, Champagne-Ardenne, Corse, Franche-Compte, Haute-Normandie, Ile-de-France, Languedoc-Rousillon, Limousin, Lorraine, Nord-Pas-de-Calais, Pays-de-la-Loire, Picardie, Poitou-Charentes, Provence-Alpes-Côte-D'azur, Rhône-Alpes, Midi-Pyrénées provinces",,,40.0,2015,6.0,29.0,2015,8.0,9.0,3275.0,,,,,80.9885789905908,1,1248;1249;1250;1251;1252;1253;1254;1255;1256;1257;1258;1259;1260;1262;1263;1264;1265;1266;1267;1268;1269;1270,,"Alsace, Aquitaine, Auvergne, Basse-Normandie, Bourgogne, Bretagne, Centre, Champagne-Ardenne, Corse, Franche-Comte, Haute-Normandie, Ile-de-France, Languedoc-Rousillon, Limousin, Lorraine, Midi-Pyrenees, Nord-Pas-de-Calais, Pays-de-la-Loire, Picardie, Poitou-Charentes, Provence-Alpes-Cote-d'Azur, Rhone-Alpes (Adm1). ",2015-06-29,2015-08-09,41.0,21.0,3.8,32.8,21.0,67871925.0,33180.0,2.0,17.499337170707918,0.010026826261373904,2015-06-01,2015-06-30,2.0,30.8
47,1679,2018-0235-ESP,2018,235,Spain,ESP,Southern Europe,,,,47.0,2018,8.0,,2018,8.0,,9.0,,,,,85.8030260572654,,,,,,,,26.0,3.4,41.2,20.1,47432893.0,24580.0,5.0,13.973292752773903,0.013811301790089,2018-08-01,2018-08-31,30.0,40.6
48,1697,2019-0296-BEL,2019,296,Belgium,BEL,Western Europe,,,,35.0,2019,6.0,21.0,2020,7.0,1.0,128.0,,,,,87.3580067738847,1,600;601;602,,"Region de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewes, Region wallonne, Vlaams Gewest (Adm1). ",2019-06-21,2020-07-01,376.0,18.7,2.3,24.3,19.5,11617623.0,36860.0,2.3,16.62690379951217,0.01337106566463725,2019-06-01,2019-06-30,3.0,32.2
49,1700,2019-0296-DEU,2019,296,Germany,DEU,Western Europe,,,,39.0,2019,6.0,24.0,2019,6.0,30.0,4.0,,,,,87.3580067738847,1,1308,,Baden-Wuerttemberg (Adm1). ,2019-06-24,2019-06-30,6.0,20.9,1.2,32.4,22.1,83237124.0,36010.0,1.0,13.944421001379144,0.017761065363094478,2019-06-01,2019-06-30,9.0,36.1
50,1701,2019-0296-ESP,2019,296,Spain,ESP,Southern Europe,"Cordoba, Valladolid",,,,2019,6.0,26.0,2019,6.0,30.0,2.0,,,,,87.3580067738847,2,,25778;25799,"C??rdoba, Valladolid (Adm2). ",2019-06-26,2019-06-30,4.0,26.0,3.4,41.2,20.1,47432893.0,24580.0,5.0,13.973292752773903,0.013811301790089,2019-06-01,2019-06-30,12.0,40.6
51,1702,2019-0296-FRA,2019,296,France,FRA,Western Europe,"Vaucluse, Bouches-du-Rhône, Hérault, Gard",,,46.0,2019,6.0,24.0,2019,7.0,7.0,567.0,,,,,87.3580067738847,2,,16287,Herault (Adm2). ,2019-06-24,2019-07-07,13.0,21.0,3.8,32.8,21.0,67871925.0,33180.0,2.0,17.499337170707918,0.010026826261373904,2019-06-01,2019-06-30,7.0,34.0
53,1755,2019-0296-ITA,2019,296,Italy,ITA,Southern Europe,"Marche Region, Veneto Region, Milan",,,,2019,6.0,26.0,2019,6.0,30.0,3.0,,,,,87.3580067738847,1;2,1625;1635,18363,"Marche, Veneto (Adm1). Milano (Adm2). ",2019-06-26,2019-06-30,4.0,24.4,6.1,37.0,23.8,59030133.0,27860.0,4.6,12.688087624671285,0.01253512337503966,2019-06-01,2019-06-30,14.0,35.7
55,1771,2019-0366-BEL,2019,366,Belgium,BEL,Western Europe,,,,41.0,2019,7.0,19.0,2019,7.0,27.0,400.0,,,,,87.3580067738847,,,,,2019-07-19,2019-07-27,8.0,18.7,2.3,24.3,19.5,11617623.0,36860.0,2.3,16.62690379951217,0.01337106566463725,2019-07-01,2019-07-31,4.0,37.8
56,1772,2019-0650-BEL,2019,650,Belgium,BEL,Western Europe,,,,35.0,2019,8.0,23.0,2019,8.0,29.0,188.0,,,,,87.3580067738847,,,,,2019-08-23,2019-08-29,6.0,18.7,2.3,24.3,19.5,11617623.0,36860.0,2.3,16.62690379951217,0.01337106566463725,2019-08-01,2019-08-31,2.0,31.7
57,1777,2020-0530-BEL,2020,530,Belgium,BEL,Western Europe,,,,,2020,8.0,5.0,2020,8.0,8.0,1687.0,,,,,88.4356408059336,1,600;601;602,,"Region de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewes, Region wallonne, Vlaams Gewest (Adm1). ",2020-08-05,2020-08-08,3.0,18.7,2.3,24.3,19.5,11617623.0,36860.0,2.3,16.62690379951217,0.01337106566463725,2020-08-01,2020-08-31,9.0,34.7
58,1822,2019-0366-FRA,2019,366,France,FRA,Western Europe,Toute la France métropolitaine (excepté l'ouest de la Bretagne et la Corse),,,44.0,2019,7.0,21.0,2019,7.0,27.0,868.0,,,,,87.3580067738847,,,,,2019-07-21,2019-07-27,6.0,21.0,3.8,32.8,21.0,67871925.0,33180.0,2.0,17.499337170707918,0.010026826261373904,2019-07-01,2019-07-31,6.0,40.0
60,1827,2019-0366-NLD,2019,366,Netherlands,NLD,Western Europe,,,,40.0,2019,7.0,22.0,2019,7.0,27.0,400.0,,,,,87.3580067738847,,,,,2019-07-22,2019-07-27,5.0,16.5,1.5,10.9,20.0,17590672.0,43800.0,0.7,15.41988276513825,0.013615739068979286,2019-07-01,2019-07-31,3.0,35.3
61,1839,2020-0530-FRA,2020,530,France,FRA,Western Europe,,,,,2020,7.0,30.0,2020,8.0,16.0,1924.0,,,,,88.4356408059336,1,1248;1249;1250;1251;1252;1253;1254;1255;1256;1257;1258;1259;1260;1262;1263;1264;1265;1266;1267;1268;1269;1270,,"Alsace, Aquitaine, Auvergne, Basse-Normandie, Bourgogne, Bretagne, Centre, Champagne-Ardenne, Corse, Franche-Comte, Haute-Normandie, Ile-de-France, Languedoc-Rousillon, Limousin, Lorraine, Midi-Pyrenees, Nord-Pas-de-Calais, Pays-de-la-Loire, Picardie, Poitou-Charentes, Provence-Alpes-Cote-d'Azur, Rhone-Alpes (Adm1). ",2020-07-30,2020-08-16,17.0,21.0,3.8,32.8,21.0,67871925.0,33180.0,2.0,17.499337170707918,0.010026826261373904,2020-07-01,2020-07-31,1.0,31.5
63,1854,2020-0530-NLD,2020,530,Netherlands,NLD,Western Europe,,,,,2020,8.0,5.0,2020,8.0,16.0,400.0,,,,,88.4356408059336,1,2158;2159;2160;2161;2162;2163;2164;2165;2166;2167;2168;2169,,"Drenthe, Flevoland, Friesland, Gelderland, Groningen, Limburg, Noord-brabant, Noord-holland, Overijssel, Utrecht, Zeeland, Zuid-holland (Adm1). ",2020-08-05,2020-08-16,11.0,16.5,1.5,10.9,20.0,17590672.0,43800.0,0.7,15.41988276513825,0.013615739068979286,2020-08-01,2020-08-31,6.0,31.4
64,1931,2022-0465-DEU,2022,465,Germany,DEU,Western Europe,,,,40.0,2022,5.0,30.0,2022,9.0,4.0,8173.0,,,,,100.0,,,,,2022-05-30,2022-09-04,97.0,20.9,1.2,32.4,22.1,83237124.0,36010.0,1.0,13.944421001379144,0.017761065363094478,2022-05-01,2022-05-31,0.0,28.8
65,1950,2022-0465-ESP,2022,465,Spain,ESP,Southern Europe,,,,43.0,2022,5.0,30.0,2022,9.0,4.0,11324.0,,,,,100.0,,,,,2022-05-30,2022-09-04,97.0,26.0,3.4,41.2,20.1,47432893.0,24580.0,5.0,13.973292752773903,0.013811301790089,2022-05-01,2022-05-31,7.0,35.4
66,1954,2022-0465-FRA,2022,465,France,FRA,Western Europe,,,,42.0,2022,5.0,30.0,2022,9.0,4.0,4807.0,20000.0,20000.0,,,100.0,,,,,2022-05-30,2022-09-04,97.0,21.0,3.8,32.8,21.0,67871925.0,33180.0,2.0,17.499337170707918,0.010026826261373904,2022-05-01,2022-05-31,0.0,28.2
68,1970,2022-0465-PRT,2022,465,Portugal,PRT,Southern Europe,,,,47.0,2022,5.0,30.0,2022,9.0,4.0,2212.0,,,,,100.0,,,,,2022-05-30,2022-09-04,97.0,20.1,3.9,49.9,23.7,10352042.0,19290.0,2.7,12.798276900344879,0.011828584157599051,2022-05-01,2022-05-31,1.0,31.6
