,Dis No,Year,Seq,Country,ISO,Region,Location,Associated Dis,Dis Mag Value,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,Total Affected,Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations,Start Date,End Date,Duration,poverty,housing_deprive,forest,elder,population,gdp,unemployment,child_population,disabled,Start_Date,End_Date,Days_over_30,Max_temp,month_length
1,2003-0391-BEL,2003,391,Belgium,BEL,Western Europe,"Region de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewes, Region wallonne, Vlaams Gewest provinces",Drought,,2003,8.0,1.0,2003,8.0,15.0,1175.0,,,,,62.8584595000413,1,600;601;602,,"Region de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewes, Region wallonne, Vlaams Gewest (Adm1). ",2003-08-01,2003-08-15,14.0,18.7,2.3,24.3,19.5,11617623.0,36860.0,2.3,1931651.0,1553.4,2003-08-01,2003-08-31,7.0,34.2,0.0
3,2003-0391-DEU,2003,391,Germany,DEU,Western Europe,"Baden-Wuerttemberg, Bayern, Berlin, Brandenburg, Bremen, Hamburg, Hessen, Mecklenburg-Vorpommern, Nierdersachsen, Nordrhein-Westfalen, Rheinland-Pfalz, Saarland, Sachsen, Sachsen-Anhalt, Schleswig-Holstein, Thueringen provinces",Drought,,2003,8.0,,2003,8.0,,9355.0,,,1650000.0,2624945.0,62.8584595000413,1,1308;1309;1310;1311;1312;1313;1314;1315;1316;1317;1318;1319;1320;1321;1322;1323,,"Baden-Wuerttemberg, Bayern, Berlin, Brandenburg, Bremen, Hamburg, Hessen, Mecklenburg-Vorpommern, Niedersachsen, Nordrhein-Westfalen, Rheinland-Pfalz, Saarland, Sachsen, Sachsen-Anhalt, Schleswig-Holstein, Thueringen (Adm1). ",,,,20.9,1.2,32.4,22.1,83237124.0,36010.0,1.0,11606935.0,14783.8,2003-08-01,2003-08-31,7.0,33.9,0.0
4,2003-0391-ESP,2003,391,Spain,ESP,Southern Europe,Andaloucia province,Drought,40.0,2003,8.0,1.0,2003,8.0,11.0,15090.0,,,880000.0,1399971.0,62.8584595000413,1,2716,,Andalucía (Adm1). ,2003-08-01,2003-08-11,10.0,26.0,3.4,41.2,20.1,47432893.0,24580.0,5.0,6627937.0,6551.1,2003-08-01,2003-08-31,22.0,39.5,0.0
5,2003-0391-FRA,2003,391,France,FRA,Western Europe,"Alsace, Aquitaine, Auvergne, Basse-Normandie, Bourgogne, Bretagne, Centre, Champagne-Ardenne, Corse, Franche-Compte, Haute-Normandie, Ile-de-France, Languedoc-Rousillon, Limousin, Lorraine, Nord-Pas-de-Calais, Pays-de-la-Loire, Picardie, Poitou-Charentes, Provence-Alpes-Côte-D'azur, Rhône-Alpes, Midi-Pyrénées provinces",Drought,43.0,2003,8.0,1.0,2003,8.0,20.0,19490.0,,,4400000.0,6999853.0,62.8584595000413,1,1248;1249;1250;1251;1252;1253;1254;1255;1256;1257;1258;1259;1260;1262;1263;1264;1265;1266;1267;1268;1269;1270,,"Alsace, Aquitaine, Auvergne, Basse-Normandie, Bourgogne, Bretagne, Centre, Champagne-Ardenne, Corse, Franche-Comte, Haute-Normandie, Ile-de-France, Languedoc-Rousillon, Limousin, Lorraine, Midi-Pyrenees, Nord-Pas-de-Calais, Pays-de-la-Loire, Picardie, Poitou-Charentes, Provence-Alpes-Cote-d'Azur, Rhone-Alpes (Adm1). ",2003-08-01,2003-08-20,19.0,21.0,3.8,32.8,21.0,67871925.0,33180.0,2.0,11877137.0,6805.4,2003-08-01,2003-08-31,11.0,37.9,0.0
6,2003-0391-ITA,2003,391,Italy,ITA,Southern Europe,"Milano, Varese districts (Lombardia province), Torino district (Piemonte province), Firenze district (Toscana province), Lecce district (Puglia province), Genova district (Liguria province)",Drought,,2003,7.0,16.0,2003,8.0,15.0,20089.0,,,4400000.0,6999853.0,62.8584595000413,2,,18352;18363;18366;18378;18384;18400,"Firenze, Genova, Lecce, Milano, Torino, Varese (Adm2). ",2003-07-16,2003-08-15,30.0,24.4,6.1,37.0,23.8,59030133.0,27860.0,4.6,7489795.0,7399.5,2003-07-01,2003-07-31,25.0,34.6,1.0
8,2004-0361-ESP,2004,361,Spain,ESP,Southern Europe,"Andalucía, Castilla-La Mancha, Comunidad de Madrid, Comunitat Valenciana, Extremadura, Región de Murcia provinces",,,2004,7.0,26.0,2004,7.0,30.0,26.0,,,,,64.5413292817447,1,2716;2723;2726;2727;2729;2731,,"Andalucía, Castilla-La Mancha, Comunidad de Madrid, Comunitat Valenciana, Extremadura, Región de Murcia (Adm1). ",2004-07-26,2004-07-30,4.0,26.0,3.4,41.2,20.1,47432893.0,24580.0,5.0,6627937.0,6551.1,2004-07-01,2004-07-31,23.0,38.4,0.0
9,2003-0391-NLD,2003,391,Netherlands (the),NLD,Western Europe,"Drenthe, Flevoland, Friesland, Gelderland, Groninge, Limburg, Noord-brabant, Noord-holland,Overijssel, Utrecht, Zeeland, Zuit-holland provinces",,,2003,7.0,31.0,2003,8.0,13.0,965.0,,,,,62.8584595000413,1,2158;2159;2160;2161;2162;2163;2164;2165;2166;2167;2168;2169,,"Drenthe, Flevoland, Friesland, Gelderland, Groningen, Limburg, Noord-brabant, Noord-holland, Overijssel, Utrecht, Zeeland, Zuid-holland (Adm1). ",2003-07-31,2003-08-13,13.0,16.5,1.5,10.9,20.0,17590672.0,43800.0,0.7,2712461.0,2395.1,2003-07-01,2003-07-31,1.0,31.3,1.0
10,2003-0391-PRT,2003,391,Portugal,PRT,Southern Europe,"Aveiro, Beja, Braga, Braganca, Castelo Branco, Coimbra, Evora, Faro, Guadra, Leiria, Lisboa, Portoalegre, Porto, Santarem, Setubal, Viana Do Castelo, Vila Real, Viseu provinces",,,2003,7.0,30.0,2003,8.0,15.0,2696.0,,,,,62.8584595000413,1,2386;2387;2388;2389;2390;2391;2392;2393;2394;2405;2406;2407;2408;2409;2410;2411;2412;2413,,"Aveiro, Beja, Braga, Braganca, Castelo Branco, Coimbra, Evora, Faro, Guarda, Leiria, Lisboa, Portalegre, Porto, Santarem, Setubal, Viana Do Castelo, Vila Real, Viseu (Adm1). ",2003-07-30,2003-08-15,16.0,20.1,3.9,49.9,23.7,10352042.0,19290.0,2.7,1324883.0,1224.5,2003-07-01,2003-07-31,2.0,37.1,1.0
11,2004-0333-ROU,2004,333,Romania,ROU,Eastern Europe,"Alba, Arad, Arges, Bacau, Bihor, Bistrita-nasaud, Botosani, Braila, Brasov, Bucuresti, Buzau, Calarasi, Caras-severin, Cluj, Constanta, Covasna, Dimbovita, Boj, Galati, Giurgiu, Gorj, Harghita, Hunedoara, Ialomita, Iasi, Maramures, Mehedinti, Mures, Neamt, Olt, Prahova, Salaj, Satu Mare, Sibiu, Suceava, Teleorman, Timis, Tulcea, Vaslui, Vilcea, Vrancea provinces",,38.0,2004,7.0,1.0,2004,7.0,,27.0,,,,,64.5413292817447,1,2446;2447;2448;2449;2450;2451;2452;2453;2454;2455;2456;2457;2458;2459;2460;2461;2462;2463;2464;2465;2466;2467;2468;2469;2470;2471;2472;2473;2474;2475;2476;2477;2478;2479;2480;2481;2482;2483;2484;2485;2486,,"Alba, Arad, Arges, Bacau, Bihor, Bistrita-nasaud, Botosani, Braila, Brasov, Bucuresti, Buzau, Calarasi, Caras-severin, Cluj, Constanta, Covasna, Dimbovita, Dolj, Galati, Giurgiu, Gorj, Harghita, Hunedoara, Ialomita, Iasi, Maramures, Mehedinti, Mures, Neamt, Olt, Prahova, Salaj, Satu Mare, Sibiu, Suceava, Teleorman, Timis, Tulcea, Vaslui, Vilcea, Vrancea (Adm1). ",2004-07-01,,,34.4,14.3,35.5,19.5,19042455.0,10110.0,2.2,3089023.0,3263.6,2004-07-01,2004-07-31,4.0,35.1,0.0
12,2006-0383-BEL,2006,383,Belgium,BEL,Western Europe,"Vlaams Geweest, Region de bruxelles-Capitale/Brussels Hoofdstedelijk Gewes, Region wallonne",,,2006,6.0,,2006,7.0,,940.0,,,,,68.8837587123464,1,600;601;602,,"Region de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewes, Region wallonne, Vlaams Gewest (Adm1). ",,,,18.7,2.3,24.3,19.5,11617623.0,36860.0,2.3,1931651.0,1553.4,2006-06-01,2006-06-30,0.0,29.1,1.0
13,2006-0383-DEU,2006,383,Germany,DEU,Western Europe,"Dresden city (Dresden district, Sachsen province), Brombach lake (Mittelfranken district, Bayern province)",,,2006,7.0,15.0,2006,7.0,23.0,2.0,,,,,68.8837587123464,2,,16530;16560,"Dresden, Mittelfranken (Adm2). ",2006-07-15,2006-07-23,8.0,20.9,1.2,32.4,22.1,83237124.0,36010.0,1.0,11606935.0,14783.8,2006-07-01,2006-07-31,14.0,35.4,0.0
14,2006-0383-ESP,2006,383,Spain,ESP,Southern Europe,"Cataluña/Catalunya, Comunitat Valenciana provinces",,40.0,2006,7.0,15.0,2006,8.0,4.0,21.0,,,,,68.8837587123464,1,2724;2726,,"Cataluña/Catalunya, Comunitat Valenciana (Adm1). ",2006-07-15,2006-08-04,20.0,26.0,3.4,41.2,20.1,47432893.0,24580.0,5.0,6627937.0,6551.1,2006-07-01,2006-07-31,28.0,38.4,1.0
15,2006-0383-FRA,2006,383,France,FRA,Western Europe,"Alsace, Aquitaine, Auvergne, Basse-Normandie, Bourgogne, Bretagne, Centre, Champagne-Ardenne, Corse, Franche-Compte, Haute-Normandie, Ile-de-France, Languedoc-Rousillon, Limousin, Lorraine, Nord-Pas-de-Calais, Pays-de-la-Loire, Picardie, Poitou-Charentes, Provence-Alpes-Côte-D'azur, Rhône-Alpes, Midi-Pyrénées provinces",,37.0,2006,7.0,15.0,2006,7.0,23.0,1388.0,,,,,68.8837587123464,1,1248;1249;1250;1251;1252;1253;1254;1255;1256;1257;1258;1259;1260;1262;1263;1264;1265;1266;1267;1268;1269;1270,,"Alsace, Aquitaine, Auvergne, Basse-Normandie, Bourgogne, Bretagne, Centre, Champagne-Ardenne, Corse, Franche-Comte, Haute-Normandie, Ile-de-France, Languedoc-Rousillon, Limousin, Lorraine, Midi-Pyrenees, Nord-Pas-de-Calais, Pays-de-la-Loire, Picardie, Poitou-Charentes, Provence-Alpes-Cote-d'Azur, Rhone-Alpes (Adm1). ",2006-07-15,2006-07-23,8.0,21.0,3.8,32.8,21.0,67871925.0,33180.0,2.0,11877137.0,6805.4,2006-07-01,2006-07-31,10.0,35.6,0.0
16,2005-0820-PRT,2005,820,Portugal,PRT,Southern Europe,"Aveiro, Beja, Braga, Braganca, Castelo Branco, Coimbra, Evora, Faro, Guarda, Leiria, Lisboa, Portalegre, Porto, Santarem, Setubal, Viana Do Castelo, Vila Real, Viseu",,,2005,6.0,,2005,8.0,,462.0,,,,,66.7310579862028,1,2386;2387;2388;2389;2390;2391;2392;2393;2394;2405;2406;2407;2408;2409;2410;2411;2412;2413,,"Aveiro, Beja, Braga, Braganca, Castelo Branco, Coimbra, Evora, Faro, Guarda, Leiria, Lisboa, Portalegre, Porto, Santarem, Setubal, Viana Do Castelo, Vila Real, Viseu (Adm1). ",,,,20.1,3.9,49.9,23.7,10352042.0,19290.0,2.7,1324883.0,1224.5,2005-06-01,2005-06-30,3.0,32.4,2.0
17,2005-0756-ROU,2005,756,Romania,ROU,Eastern Europe,Bucuresti province,,36.0,2005,7.0,27.0,2005,8.0,1.0,13.0,500.0,500.0,,,66.7310579862028,1,2455,,Bucuresti (Adm1). ,2005-07-27,2005-08-01,5.0,34.4,14.3,35.5,19.5,19042455.0,10110.0,2.2,3089023.0,3263.6,2005-07-01,2005-07-31,5.0,32.1,1.0
18,2006-0383-NLD,2006,383,Netherlands (the),NLD,Western Europe,"Drenthe, Flevoland, Friesland, Gelderland, Groninge, Limburg, Noord-brabant, Noord-holland,Overijssel, Utrecht, Zeeland, Zuit-holland provinces",,34.0,2006,7.0,15.0,2006,7.0,23.0,1000.0,,,,,68.8837587123464,1,2158;2159;2160;2161;2162;2163;2164;2165;2166;2167;2168;2169,,"Drenthe, Flevoland, Friesland, Gelderland, Groningen, Limburg, Noord-brabant, Noord-holland, Overijssel, Utrecht, Zeeland, Zuid-holland (Adm1). ",2006-07-15,2006-07-23,8.0,16.5,1.5,10.9,20.0,17590672.0,43800.0,0.7,2712461.0,2395.1,2006-07-01,2006-07-31,2.0,33.1,0.0
19,2006-0383-PRT,2006,383,Portugal,PRT,Southern Europe,"Aveiro, Beja, Braga, Braganca, Castelo Branco, Coimbra, Evora, Faro, Guadra, Leiria, Lisboa, Portoalegre, Porto, Santarem, Setubal, Viana Do Castelo, Vila Real, Viseu provinces",,47.0,2006,7.0,11.0,2006,7.0,17.0,41.0,,,,,68.8837587123464,1,2386;2387;2388;2389;2390;2391;2392;2393;2394;2405;2406;2407;2408;2409;2410;2411;2412;2413,,"Aveiro, Beja, Braga, Braganca, Castelo Branco, Coimbra, Evora, Faro, Guarda, Leiria, Lisboa, Portalegre, Porto, Santarem, Setubal, Viana Do Castelo, Vila Real, Viseu (Adm1). ",2006-07-11,2006-07-17,6.0,20.1,3.9,49.9,23.7,10352042.0,19290.0,2.7,1324883.0,1224.5,2006-07-01,2006-07-31,7.0,35.8,0.0
20,2006-0348-ROU,2006,348,Romania,ROU,Eastern Europe,"Bucarest, Galati, Mehedinti provinces",,36.0,2006,6.0,29.0,2006,7.0,,26.0,200.0,200.0,,,68.8837587123464,1,2455;2464;2472,,"Bucuresti, Galati, Mehedinti (Adm1). ",2006-06-29,,,34.4,14.3,35.5,19.5,19042455.0,10110.0,2.2,3089023.0,3263.6,2006-06-01,2006-06-30,5.0,32.3,1.0
22,2007-0235-ROU,2007,235,Romania,ROU,Eastern Europe,"Caras-severin, Dolj, Olt, Teleorman, Giurgiu, Bucuresti, Iasi provinces",Drought,45.0,2007,6.0,,2007,7.0,,30.0,,,,,70.848792703253,1,2455;2458;2463;2465;2470;2475;2481,,"Bucuresti, Caras-severin, Dolj, Giurgiu, Iasi, Olt, Teleorman (Adm1). ",,,,34.4,14.3,35.5,19.5,19042455.0,10110.0,2.2,3089023.0,3263.6,2007-06-01,2007-06-30,11.0,39.1,1.0
23,2007-0235-ITA,2007,235,Italy,ITA,Southern Europe,"Calabria, Sicilia, Trentino-alto Adige provinces",Wildfire,45.0,2007,6.0,,2007,6.0,,6.0,,,,,70.848792703253,1,1618;1630;1632,,"Calabria, Sicilia, Trentino-alto Adige (Adm1). ",,,,24.4,6.1,37.0,23.8,59030133.0,27860.0,4.6,7489795.0,7399.5,2007-06-01,2007-06-30,5.0,33.1,0.0
24,2007-0235-SVK,2007,235,Slovakia,SVK,Eastern Europe,"Banska Bystrica, Bratislava, Kosice, Nitra, Presov, Trencin, Trnava, Zilna provinces",,40.0,2007,7.0,15.0,2007,7.0,22.0,1.0,89.0,89.0,,,70.848792703253,1,2667;2668;2669;2670;2671;2672;2673;2674,,"Banska Bystrica, Bratislava, Kosice, Nitra, Presov, Trencin, Trnava, Zilna (Adm1). ",2007-07-15,2007-07-22,7.0,16.5,3.2,48.6,17.4,5434712.0,16300.0,4.1,872796.0,814.1,2007-07-01,2007-07-31,11.0,36.9,0.0
25,2011-0329-ITA,2011,329,Italy,ITA,Southern Europe,"Milano district (Lombardia province), Torino district (Piemonte province), Trieste district (Friuli-venezia Giulia province), Verona district (Veneto province), Messina district (Sicilia province), Roma district (Lazio province), Napoli district (Campania province)",,47.0,2011,8.0,17.0,2011,8.0,24.0,10.0,,,,,76.8615953778198,2,,18332;18345;18350;18363;18378;18394;18419,"Messina, Milano, Napoli, Roma, Torino, Trieste, Verona (Adm2). ",2011-08-17,2011-08-24,7.0,24.4,6.1,37.0,23.8,59030133.0,27860.0,4.6,7489795.0,7399.5,2011-08-01,2011-08-31,15.0,36.1,0.0
27,2015-0410-BEL,2015,410,Belgium,BEL,Western Europe,"Vlaams Gewest, Region de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewes, Region wallonne provinces",,,2015,6.0,30.0,2015,7.0,5.0,410.0,,,,,80.9885789905908,1,600;601;602,,"Region de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewes, Region wallonne, Vlaams Gewest (Adm1). ",2015-06-30,2015-07-05,5.0,18.7,2.3,24.3,19.5,11617623.0,36860.0,2.3,1931651.0,1553.4,2015-06-01,2015-06-30,1.0,30.9,1.0
28,2015-0410-FRA,2015,410,France,FRA,Western Europe,"Alsace, Aquitaine, Auvergne, Basse-Normandie, Bourgogne, Bretagne, Centre, Champagne-Ardenne, Corse, Franche-Compte, Haute-Normandie, Ile-de-France, Languedoc-Rousillon, Limousin, Lorraine, Nord-Pas-de-Calais, Pays-de-la-Loire, Picardie, Poitou-Charentes, Provence-Alpes-Côte-D'azur, Rhône-Alpes, Midi-Pyrénées provinces",,40.0,2015,6.0,29.0,2015,8.0,9.0,3275.0,,,,,80.9885789905908,1,1248;1249;1250;1251;1252;1253;1254;1255;1256;1257;1258;1259;1260;1262;1263;1264;1265;1266;1267;1268;1269;1270,,"Alsace, Aquitaine, Auvergne, Basse-Normandie, Bourgogne, Bretagne, Centre, Champagne-Ardenne, Corse, Franche-Comte, Haute-Normandie, Ile-de-France, Languedoc-Rousillon, Limousin, Lorraine, Midi-Pyrenees, Nord-Pas-de-Calais, Pays-de-la-Loire, Picardie, Poitou-Charentes, Provence-Alpes-Cote-d'Azur, Rhone-Alpes (Adm1). ",2015-06-29,2015-08-09,41.0,21.0,3.8,32.8,21.0,67871925.0,33180.0,2.0,11877137.0,6805.4,2015-06-01,2015-06-30,2.0,30.8,2.0
29,2018-0235-ESP,2018,235,Spain,ESP,Southern Europe,,,47.0,2018,8.0,,2018,8.0,,9.0,,,,,85.8030260572654,,,,,,,,26.0,3.4,41.2,20.1,47432893.0,24580.0,5.0,6627937.0,6551.1,2018-08-01,2018-08-31,30.0,40.6,0.0
30,2019-0296-BEL,2019,296,Belgium,BEL,Western Europe,,,35.0,2019,6.0,21.0,2020,7.0,1.0,128.0,,,,,87.3580067738847,1,600;601;602,,"Region de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewes, Region wallonne, Vlaams Gewest (Adm1). ",2019-06-21,2020-07-01,376.0,18.7,2.3,24.3,19.5,11617623.0,36860.0,2.3,1931651.0,1553.4,2019-06-01,2019-06-30,3.0,32.2,1.0
31,2019-0296-DEU,2019,296,Germany,DEU,Western Europe,,,39.0,2019,6.0,24.0,2019,6.0,30.0,4.0,,,,,87.3580067738847,1,1308,,Baden-Wuerttemberg (Adm1). ,2019-06-24,2019-06-30,6.0,20.9,1.2,32.4,22.1,83237124.0,36010.0,1.0,11606935.0,14783.8,2019-06-01,2019-06-30,9.0,36.1,0.0
32,2019-0296-ESP,2019,296,Spain,ESP,Southern Europe,"Cordoba, Valladolid",,,2019,6.0,26.0,2019,6.0,30.0,2.0,,,,,87.3580067738847,2,,25778;25799,"C??rdoba, Valladolid (Adm2). ",2019-06-26,2019-06-30,4.0,26.0,3.4,41.2,20.1,47432893.0,24580.0,5.0,6627937.0,6551.1,2019-06-01,2019-06-30,12.0,40.6,0.0
33,2019-0296-FRA,2019,296,France,FRA,Western Europe,"Vaucluse, Bouches-du-Rhône, Hérault, Gard",,46.0,2019,6.0,24.0,2019,7.0,7.0,567.0,,,,,87.3580067738847,2,,16287,Herault (Adm2). ,2019-06-24,2019-07-07,13.0,21.0,3.8,32.8,21.0,67871925.0,33180.0,2.0,11877137.0,6805.4,2019-06-01,2019-06-30,7.0,34.0,1.0
35,2019-0296-ITA,2019,296,Italy,ITA,Southern Europe,"Marche Region, Veneto Region, Milan",,,2019,6.0,26.0,2019,6.0,30.0,3.0,,,,,87.3580067738847,1;2,1625;1635,18363,"Marche, Veneto (Adm1). Milano (Adm2). ",2019-06-26,2019-06-30,4.0,24.4,6.1,37.0,23.8,59030133.0,27860.0,4.6,7489795.0,7399.5,2019-06-01,2019-06-30,14.0,35.7,0.0
37,2019-0366-BEL,2019,366,Belgium,BEL,Western Europe,,,41.0,2019,7.0,19.0,2019,7.0,27.0,400.0,,,,,87.3580067738847,,,,,2019-07-19,2019-07-27,8.0,18.7,2.3,24.3,19.5,11617623.0,36860.0,2.3,1931651.0,1553.4,2019-07-01,2019-07-31,4.0,37.8,0.0
38,2019-0650-BEL,2019,650,Belgium,BEL,Western Europe,,,35.0,2019,8.0,23.0,2019,8.0,29.0,188.0,,,,,87.3580067738847,,,,,2019-08-23,2019-08-29,6.0,18.7,2.3,24.3,19.5,11617623.0,36860.0,2.3,1931651.0,1553.4,2019-08-01,2019-08-31,2.0,31.7,0.0
39,2020-0530-BEL,2020,530,Belgium,BEL,Western Europe,,,,2020,8.0,5.0,2020,8.0,8.0,1687.0,,,,,88.4356408059336,1,600;601;602,,"Region de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewes, Region wallonne, Vlaams Gewest (Adm1). ",2020-08-05,2020-08-08,3.0,18.7,2.3,24.3,19.5,11617623.0,36860.0,2.3,1931651.0,1553.4,2020-08-01,2020-08-31,9.0,34.7,0.0
40,2019-0366-FRA,2019,366,France,FRA,Western Europe,Toute la France métropolitaine (excepté l'ouest de la Bretagne et la Corse),,44.0,2019,7.0,21.0,2019,7.0,27.0,868.0,,,,,87.3580067738847,,,,,2019-07-21,2019-07-27,6.0,21.0,3.8,32.8,21.0,67871925.0,33180.0,2.0,11877137.0,6805.4,2019-07-01,2019-07-31,6.0,40.0,0.0
42,2019-0366-NLD,2019,366,Netherlands (the),NLD,Western Europe,,,40.0,2019,7.0,22.0,2019,7.0,27.0,400.0,,,,,87.3580067738847,,,,,2019-07-22,2019-07-27,5.0,16.5,1.5,10.9,20.0,17590672.0,43800.0,0.7,2712461.0,2395.1,2019-07-01,2019-07-31,3.0,35.3,0.0
43,2020-0530-FRA,2020,530,France,FRA,Western Europe,,,,2020,7.0,30.0,2020,8.0,16.0,1924.0,,,,,88.4356408059336,1,1248;1249;1250;1251;1252;1253;1254;1255;1256;1257;1258;1259;1260;1262;1263;1264;1265;1266;1267;1268;1269;1270,,"Alsace, Aquitaine, Auvergne, Basse-Normandie, Bourgogne, Bretagne, Centre, Champagne-Ardenne, Corse, Franche-Comte, Haute-Normandie, Ile-de-France, Languedoc-Rousillon, Limousin, Lorraine, Midi-Pyrenees, Nord-Pas-de-Calais, Pays-de-la-Loire, Picardie, Poitou-Charentes, Provence-Alpes-Cote-d'Azur, Rhone-Alpes (Adm1). ",2020-07-30,2020-08-16,17.0,21.0,3.8,32.8,21.0,67871925.0,33180.0,2.0,11877137.0,6805.4,2020-07-01,2020-07-31,1.0,31.5,1.0
45,2020-0530-NLD,2020,530,Netherlands (the),NLD,Western Europe,,,,2020,8.0,5.0,2020,8.0,16.0,400.0,,,,,88.4356408059336,1,2158;2159;2160;2161;2162;2163;2164;2165;2166;2167;2168;2169,,"Drenthe, Flevoland, Friesland, Gelderland, Groningen, Limburg, Noord-brabant, Noord-holland, Overijssel, Utrecht, Zeeland, Zuid-holland (Adm1). ",2020-08-05,2020-08-16,11.0,16.5,1.5,10.9,20.0,17590672.0,43800.0,0.7,2712461.0,2395.1,2020-08-01,2020-08-31,6.0,31.4,0.0
46,2022-0465-DEU,2022,465,Germany,DEU,Western Europe,,,40.0,2022,5.0,30.0,2022,9.0,4.0,8173.0,,,,,100.0,,,,,2022-05-30,2022-09-04,97.0,20.9,1.2,32.4,22.1,83237124.0,36010.0,1.0,11606935.0,14783.8,2022-05-01,2022-05-31,0.0,28.8,4.0
47,2022-0465-ESP,2022,465,Spain,ESP,Southern Europe,,,43.0,2022,5.0,30.0,2022,9.0,4.0,11324.0,,,,,100.0,,,,,2022-05-30,2022-09-04,97.0,26.0,3.4,41.2,20.1,47432893.0,24580.0,5.0,6627937.0,6551.1,2022-05-01,2022-05-31,7.0,35.4,4.0
48,2022-0465-FRA,2022,465,France,FRA,Western Europe,,,42.0,2022,5.0,30.0,2022,9.0,4.0,4807.0,20000.0,20000.0,,,100.0,,,,,2022-05-30,2022-09-04,97.0,21.0,3.8,32.8,21.0,67871925.0,33180.0,2.0,11877137.0,6805.4,2022-05-01,2022-05-31,0.0,28.2,4.0
50,2022-0465-PRT,2022,465,Portugal,PRT,Southern Europe,,,47.0,2022,5.0,30.0,2022,9.0,4.0,2212.0,,,,,100.0,,,,,2022-05-30,2022-09-04,97.0,20.1,3.9,49.9,23.7,10352042.0,19290.0,2.7,1324883.0,1224.5,2022-05-01,2022-05-31,1.0,31.6,4.0
