DATAFLOW,LAST UPDATE,freq,aquaenv,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,AL,2011,0,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,AL,2012,0,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,AL,2013,73,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,AL,2014,73,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,AL,2015,78,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,AL,2016,92,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,AL,2017,102,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,AL,2018,102,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,AL,2019,113,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,AL,2020,113,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,AL,2021,113,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,AL,2022,113,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,AT,2011,,z
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,AT,2012,,z
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,AT,2013,,z
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,AT,2014,,z
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,AT,2015,,z
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,AT,2016,,z
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,AT,2017,,z
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,AT,2018,,z
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,AT,2019,,z
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,AT,2020,,z
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,AT,2021,,z
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,AT,2022,,z
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,BE,2011,42,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,BE,2012,42,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,BE,2013,42,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,BE,2014,42,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,BE,2015,42,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,BE,2016,42,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,BE,2017,42,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,BE,2018,42,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,BE,2019,42,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,BE,2020,41,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,BE,2021,41,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,BE,2022,41,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,BG,2011,89,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,BG,2012,89,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,BG,2013,90,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,BG,2014,90,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,BG,2015,90,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,BG,2016,90,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,BG,2017,91,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,BG,2018,91,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,BG,2019,91,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,BG,2020,92,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,BG,2021,92,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,BG,2022,92,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,CH,2011,,z
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,CH,2012,,z
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,CH,2013,,z
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,CH,2014,,z
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,CH,2015,,z
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,CH,2016,,z
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,CH,2017,,z
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,CH,2018,,z
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,CH,2019,,z
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,CH,2020,,z
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,CH,2021,,z
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,CH,2022,,z
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,CY,2011,112,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,CY,2012,112,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,CY,2013,112,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,CY,2014,112,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,CY,2015,113,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,CY,2016,113,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,CY,2017,113,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,CY,2018,113,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,CY,2019,113,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,CY,2020,112,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,CY,2021,120,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,CY,2022,120,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,CZ,2011,,z
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,CZ,2012,,z
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,CZ,2013,,z
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,CZ,2014,,z
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,CZ,2015,,z
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,CZ,2016,,z
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,CZ,2017,,z
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,CZ,2018,,z
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,CZ,2019,,z
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,CZ,2020,,z
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,CZ,2021,,z
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,CZ,2022,,z
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,DE,2011,372,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,DE,2012,366,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,DE,2013,367,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,DE,2014,363,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,DE,2015,367,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,DE,2016,367,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,DE,2017,366,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,DE,2018,366,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,DE,2019,367,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,DE,2020,363,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,DE,2021,363,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,DE,2022,362,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,DK,2011,1012,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,DK,2012,973,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,DK,2013,923,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,DK,2014,917,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,DK,2015,918,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,DK,2016,921,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,DK,2017,915,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,DK,2018,910,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,DK,2019,905,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,DK,2020,906,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,DK,2021,908,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,DK,2022,917,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,EE,2011,27,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,EE,2012,27,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,EE,2013,26,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,EE,2014,27,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,EE,2015,27,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,EE,2016,27,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,EE,2017,27,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,EE,2018,27,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,EE,2019,27,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,EE,2020,29,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,EE,2021,30,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,EE,2022,30,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,EL,2011,2149,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,EL,2012,2149,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,EL,2013,2156,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,EL,2014,1538,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,EL,2015,1540,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,EL,2016,1540,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,EL,2017,1595,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,EL,2018,1595,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,EL,2019,1631,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,EL,2020,1631,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,EL,2021,1680,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,EL,2022,1679,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,ES,2011,1927,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,ES,2012,1926,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,ES,2013,1931,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,ES,2014,1942,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,ES,2015,1948,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,ES,2016,1949,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,ES,2017,1960,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,ES,2018,1965,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,ES,2019,1968,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,ES,2020,1969,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,ES,2021,1984,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,ES,2022,1987,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,EU27_2020,2011,14839,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,EU27_2020,2012,14789,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,EU27_2020,2013,14747,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,EU27_2020,2014,14138,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,EU27_2020,2015,14150,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,EU27_2020,2016,14206,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,EU27_2020,2017,14317,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,EU27_2020,2018,14381,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,EU27_2020,2019,14404,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,EU27_2020,2020,14361,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,EU27_2020,2021,14471,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,EU27_2020,2022,14519,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,EU28,2011,15444,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,EU28,2012,15406,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,EU28,2013,15363,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,EU28,2014,14755,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,EU28,2015,14767,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,EU28,2016,14821,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,EU28,2017,14935,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,EU28,2018,15009,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,EU28,2019,15048,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,FI,2011,85,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,FI,2012,83,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,FI,2013,82,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,FI,2014,81,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,FI,2015,77,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,FI,2016,77,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,FI,2017,77,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,FI,2018,76,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,FI,2019,77,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,FI,2020,78,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,FI,2021,78,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,FI,2022,78,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,FR,2011,2029,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,FR,2012,2034,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,FR,2013,2034,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,FR,2014,2038,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,FR,2015,2040,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,FR,2016,2066,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,FR,2017,2065,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,FR,2018,2041,
ESTAT:SDG_14_40(1.0),04/07/23 11:00:00,A,CST_NR,FR,2019,2044,
