DATAFLOW,LAST UPDATE,freq,unit,assist,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HLTH_DPEH130(1.0),18/05/15 23:00:00,A,THS,AS1015,Y_GE15,T,AT,2012,251.6,
ESTAT:HLTH_DPEH130(1.0),18/05/15 23:00:00,A,THS,AS1015,Y_GE15,T,BE,2012,583.1,
ESTAT:HLTH_DPEH130(1.0),18/05/15 23:00:00,A,THS,AS1015,Y_GE15,T,BG,2012,421.3,
ESTAT:HLTH_DPEH130(1.0),18/05/15 23:00:00,A,THS,AS1015,Y_GE15,T,CY,2012,34.0,
ESTAT:HLTH_DPEH130(1.0),18/05/15 23:00:00,A,THS,AS1015,Y_GE15,T,CZ,2012,396.6,
ESTAT:HLTH_DPEH130(1.0),18/05/15 23:00:00,A,THS,AS1015,Y_GE15,T,DE,2012,3738.5,
ESTAT:HLTH_DPEH130(1.0),18/05/15 23:00:00,A,THS,AS1015,Y_GE15,T,DK,2012,231.4,
ESTAT:HLTH_DPEH130(1.0),18/05/15 23:00:00,A,THS,AS1015,Y_GE15,T,EE,2012,89.1,
ESTAT:HLTH_DPEH130(1.0),18/05/15 23:00:00,A,THS,AS1015,Y_GE15,T,EEA,2012,27203.5,e
ESTAT:HLTH_DPEH130(1.0),18/05/15 23:00:00,A,THS,AS1015,Y_GE15,T,EL,2012,680.3,
ESTAT:HLTH_DPEH130(1.0),18/05/15 23:00:00,A,THS,AS1015,Y_GE15,T,ES,2012,3302.2,
ESTAT:HLTH_DPEH130(1.0),18/05/15 23:00:00,A,THS,AS1015,Y_GE15,T,EU27_2007,2012,26974.2,e
ESTAT:HLTH_DPEH130(1.0),18/05/15 23:00:00,A,THS,AS1015,Y_GE15,T,FI,2012,120.3,
ESTAT:HLTH_DPEH130(1.0),18/05/15 23:00:00,A,THS,AS1015,Y_GE15,T,FR,2012,3112.6,
ESTAT:HLTH_DPEH130(1.0),18/05/15 23:00:00,A,THS,AS1015,Y_GE15,T,HU,2012,383.2,
ESTAT:HLTH_DPEH130(1.0),18/05/15 23:00:00,A,THS,AS1015,Y_GE15,T,IS,2012,8.1,
ESTAT:HLTH_DPEH130(1.0),18/05/15 23:00:00,A,THS,AS1015,Y_GE15,T,IT,2012,3938.6,
ESTAT:HLTH_DPEH130(1.0),18/05/15 23:00:00,A,THS,AS1015,Y_GE15,T,LT,2012,227.5,
ESTAT:HLTH_DPEH130(1.0),18/05/15 23:00:00,A,THS,AS1015,Y_GE15,T,LU,2012,21.3,
ESTAT:HLTH_DPEH130(1.0),18/05/15 23:00:00,A,THS,AS1015,Y_GE15,T,LV,2012,71.6,
ESTAT:HLTH_DPEH130(1.0),18/05/15 23:00:00,A,THS,AS1015,Y_GE15,T,MT,2012,15.3,
ESTAT:HLTH_DPEH130(1.0),18/05/15 23:00:00,A,THS,AS1015,Y_GE15,T,NL,2012,628.5,
ESTAT:HLTH_DPEH130(1.0),18/05/15 23:00:00,A,THS,AS1015,Y_GE15,T,NO,2012,221.3,
ESTAT:HLTH_DPEH130(1.0),18/05/15 23:00:00,A,THS,AS1015,Y_GE15,T,PL,2012,1669.4,
ESTAT:HLTH_DPEH130(1.0),18/05/15 23:00:00,A,THS,AS1015,Y_GE15,T,PT,2012,534.3,
ESTAT:HLTH_DPEH130(1.0),18/05/15 23:00:00,A,THS,AS1015,Y_GE15,T,RO,2012,1116.9,
ESTAT:HLTH_DPEH130(1.0),18/05/15 23:00:00,A,THS,AS1015,Y_GE15,T,SE,2012,310.1,
ESTAT:HLTH_DPEH130(1.0),18/05/15 23:00:00,A,THS,AS1015,Y_GE15,T,SI,2012,73.6,
ESTAT:HLTH_DPEH130(1.0),18/05/15 23:00:00,A,THS,AS1015,Y_GE15,T,SK,2012,196.4,
ESTAT:HLTH_DPEH130(1.0),18/05/15 23:00:00,A,THS,AS1015,Y_GE15,T,UK,2012,4826.5,
ESTAT:HLTH_DPEH130(1.0),18/05/15 23:00:00,A,THS,TOTAL,Y_GE15,T,AT,2012,1162.7,
ESTAT:HLTH_DPEH130(1.0),18/05/15 23:00:00,A,THS,TOTAL,Y_GE15,T,BE,2012,1553.4,
ESTAT:HLTH_DPEH130(1.0),18/05/15 23:00:00,A,THS,TOTAL,Y_GE15,T,BG,2012,1369.5,
ESTAT:HLTH_DPEH130(1.0),18/05/15 23:00:00,A,THS,TOTAL,Y_GE15,T,CY,2012,104.1,
ESTAT:HLTH_DPEH130(1.0),18/05/15 23:00:00,A,THS,TOTAL,Y_GE15,T,CZ,2012,1272.1,
ESTAT:HLTH_DPEH130(1.0),18/05/15 23:00:00,A,THS,TOTAL,Y_GE15,T,DE,2012,14783.8,
ESTAT:HLTH_DPEH130(1.0),18/05/15 23:00:00,A,THS,TOTAL,Y_GE15,T,DK,2012,919.3,
ESTAT:HLTH_DPEH130(1.0),18/05/15 23:00:00,A,THS,TOTAL,Y_GE15,T,EE,2012,225.1,
ESTAT:HLTH_DPEH130(1.0),18/05/15 23:00:00,A,THS,TOTAL,Y_GE15,T,EEA,2012,73894.9,e
ESTAT:HLTH_DPEH130(1.0),18/05/15 23:00:00,A,THS,TOTAL,Y_GE15,T,EL,2012,1686.6,
ESTAT:HLTH_DPEH130(1.0),18/05/15 23:00:00,A,THS,TOTAL,Y_GE15,T,ES,2012,6551.1,
ESTAT:HLTH_DPEH130(1.0),18/05/15 23:00:00,A,THS,TOTAL,Y_GE15,T,EU27_2007,2012,73030.6,e
ESTAT:HLTH_DPEH130(1.0),18/05/15 23:00:00,A,THS,TOTAL,Y_GE15,T,FI,2012,767.5,
ESTAT:HLTH_DPEH130(1.0),18/05/15 23:00:00,A,THS,TOTAL,Y_GE15,T,FR,2012,6805.4,
ESTAT:HLTH_DPEH130(1.0),18/05/15 23:00:00,A,THS,TOTAL,Y_GE15,T,HU,2012,2072.8,
ESTAT:HLTH_DPEH130(1.0),18/05/15 23:00:00,A,THS,TOTAL,Y_GE15,T,IS,2012,40.8,
ESTAT:HLTH_DPEH130(1.0),18/05/15 23:00:00,A,THS,TOTAL,Y_GE15,T,IT,2012,7399.5,
ESTAT:HLTH_DPEH130(1.0),18/05/15 23:00:00,A,THS,TOTAL,Y_GE15,T,LT,2012,585.5,
ESTAT:HLTH_DPEH130(1.0),18/05/15 23:00:00,A,THS,TOTAL,Y_GE15,T,LU,2012,68.3,
ESTAT:HLTH_DPEH130(1.0),18/05/15 23:00:00,A,THS,TOTAL,Y_GE15,T,LV,2012,405.4,
ESTAT:HLTH_DPEH130(1.0),18/05/15 23:00:00,A,THS,TOTAL,Y_GE15,T,MT,2012,42.1,
ESTAT:HLTH_DPEH130(1.0),18/05/15 23:00:00,A,THS,TOTAL,Y_GE15,T,NL,2012,2395.1,
ESTAT:HLTH_DPEH130(1.0),18/05/15 23:00:00,A,THS,TOTAL,Y_GE15,T,NO,2012,823.5,
ESTAT:HLTH_DPEH130(1.0),18/05/15 23:00:00,A,THS,TOTAL,Y_GE15,T,PL,2012,5805.1,
ESTAT:HLTH_DPEH130(1.0),18/05/15 23:00:00,A,THS,TOTAL,Y_GE15,T,PT,2012,1224.5,
ESTAT:HLTH_DPEH130(1.0),18/05/15 23:00:00,A,THS,TOTAL,Y_GE15,T,RO,2012,3263.6,
ESTAT:HLTH_DPEH130(1.0),18/05/15 23:00:00,A,THS,TOTAL,Y_GE15,T,SE,2012,1165.0,
ESTAT:HLTH_DPEH130(1.0),18/05/15 23:00:00,A,THS,TOTAL,Y_GE15,T,SI,2012,320.3,
ESTAT:HLTH_DPEH130(1.0),18/05/15 23:00:00,A,THS,TOTAL,Y_GE15,T,SK,2012,814.1,
ESTAT:HLTH_DPEH130(1.0),18/05/15 23:00:00,A,THS,TOTAL,Y_GE15,T,UK,2012,10268.5,
